fecha,num_jornada,abb,equipo,license_license_str15,matches,time_played,points,total_rebound,asis,turnovers,steals,blocks,x2pm_a,x3pm_a,x1pm_a,differential,val,dre,rival,logo_cuadrado
2025-11-09,6,SBB,Surne Bilbao Basket,Melwin Pantzar,1,21:04:00,12,2,14,0,4,0,3/6,1/1,1/3,22,30,18.94,vs. CAZ (W +31),https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/SBB.png
2025-11-08,6,DGC,Dreamland Gran Canaria,Isaiah Wong,1,15:01:00,20,3,1,0,3,0,2/5,4/5,4/4,21,21,14.88,@. BRE (W +11),https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/DGC.png
2025-11-08,6,DGC,Dreamland Gran Canaria,Nico Brussino,1,31:00:00,18,3,5,0,1,0,2/2,4/8,4/3,3,24,13.040000000000001,@. BRE (W +11),https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/DGC.png
2025-11-08,6,LLT,La Laguna Tenerife,Marcelinho Huertas,1,28:49:00,28,2,9,3,0,0,9/10,0/3,0/10,-3,37,12.920000000000002,vs. BUR (W +4),https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/LLT.png
2025-11-09,6,COV,Coviran Granada,Luka Bozic,1,30:16:00,19,6,5,1,0,1,4/6,2/2,2/8,13,31,12.700000000000005,vs. VBC (W +6),https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/COV.png
2025-11-08,6,UCM,UCAM Murcia,David DeJulius,1,25:43:00,22,1,4,2,2,0,5/7,3/4,3/4,10,25,12.480000000000002,vs. BAX (W +19),https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/UCM.png
2025-11-09,6,HIO,Hiopos Lleida,Melvin Ejim,1,30:52:00,17,7,0,1,1,2,7/7,1/2,1/1,12,28,11.770000000000001,vs. BKN (W +6),https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/HIO.png
2025-11-09,6,VBC,Valencia Basket,Xabi López-Arostegui,1,22:03:00,12,2,3,0,2,0,0/0,3/4,3/4,-3,18,11.659999999999998,@. COV (L -6),https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/VBC.png
2025-11-09,6,SBB,Surne Bilbao Basket,Darrun Hilliard,1,21:05:00,20,0,3,2,2,0,1/3,6/7,6/0,24,16,11.61,vs. CAZ (W +31),https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/SBB.png
2025-11-08,6,BUR,Recoletas Salud San Pablo Burgos,Jhivvan Jackson,1,26:50:00,24,0,4,1,0,0,4/4,3/7,3/7,-6,24,11.36,@. LLT (L -4),https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BUR.svg
